Date,Stock Price,Stock Price (Empty Weekend),3 Day Average,5 Day Average,7 Day Average
1/1/2020,10.120000,10.120000,-,-,-
1/2/2020,13.270000,13.270000,-,-,-
1/3/2020,6.730000,6.730000,10.040000,-,-
1/4/2020,12.210000,,,,
1/5/2020,13.650000,,,,
1/6/2020,14.610000,14.610000,11.536667,-,-
1/7/2020,10.170000,10.170000,10.503333,10.980000,-
1/8/2020,11.520000,11.520000,12.100000,11.260000,-
1/9/2020,10.360000,10.360000,10.683333,10.678000,10.968571
1/10/2020,6.000000,6.000000,9.293333,10.532000,10.380000
1/11/2020,10.510000,,,,
1/12/2020,11.290000,,,,
1/13/2020,15.810000,15.810000,10.723333,10.772000,10.742857
1/14/2020,18.690000,18.690000,13.500000,12.476000,12.451429
1/15/2020,13.240000,13.240000,15.913333,12.820000,12.255714
1/16/2020,7.460000,7.460000,13.130000,12.240000,11.868571
1/17/2020,10.940000,10.940000,10.546667,13.228000,11.785714
1/18/2020,14.100000,,,,
1/19/2020,15.950000,,,,
1/20/2020,7.970000,7.970000,8.790000,11.660000,11.444286
1/21/2020,9.180000,9.180000,9.363333,9.758000,11.898571
1/22/2020,17.640000,17.640000,11.596667,10.638000,12.160000
1/23/2020,13.510000,13.510000,13.443333,11.848000,11.420000
1/24/2020,9.990000,9.990000,13.713333,11.658000,10.955714
1/25/2020,21.800000,,,,
1/26/2020,12.370000,,,,
1/27/2020,10.490000,10.490000,11.330000,12.162000,11.388571
1/28/2020,7.060000,7.060000,9.180000,11.738000,10.834286
1/29/2020,13.000000,13.000000,10.183333,10.810000,11.552857
1/30/2020,16.230000,16.230000,12.096667,11.354000,12.560000
1/31/2020,13.400000,13.400000,14.210000,12.036000,11.954286
2/1/2020,10.510000,,,,
2/2/2020,13.840000,,,,
2/3/2020,18.220000,18.220000,15.950000,13.582000,12.627143
2/4/2020,17.060000,17.060000,16.226667,15.582000,13.637143
2/5/2020,12.090000,12.090000,15.790000,15.400000,13.865714
2/6/2020,11.550000,11.550000,13.566667,14.464000,14.507143
2/7/2020,10.850000,10.850000,11.496667,13.954000,14.200000
2/8/2020,6.400000,,,,
2/9/2020,12.390000,,,,
2/10/2020,18.900000,18.900000,13.766667,14.090000,14.581429
2/11/2020,12.270000,12.270000,14.006667,13.132000,14.420000
2/12/2020,19.930000,19.930000,17.033333,14.700000,14.664286
2/13/2020,11.370000,11.370000,14.523333,14.664000,13.851429
2/14/2020,10.470000,10.470000,13.923333,14.588000,13.620000
2/15/2020,12.740000,,,,
2/16/2020,11.330000,,,,
2/17/2020,18.860000,18.860000,13.566667,14.580000,14.664286
2/18/2020,20.170000,20.170000,16.500000,16.160000,15.995714
2/19/2020,17.840000,17.840000,18.956667,15.742000,15.844286
2/20/2020,14.090000,14.090000,17.366667,16.286000,16.104286
2/21/2020,19.790000,19.790000,17.240000,18.150000,16.084286
2/22/2020,18.450000,,,,
2/23/2020,14.550000,,,,
2/24/2020,12.030000,12.030000,15.303333,16.784000,16.178571
2/25/2020,17.810000,17.810000,16.543333,16.312000,17.227143
2/26/2020,10.410000,10.410000,13.416667,14.826000,16.020000
2/27/2020,17.230000,17.230000,15.150000,15.454000,15.600000
2/28/2020,14.510000,14.510000,14.050000,14.398000,15.124286
2/29/2020,19.700000,,,,
3/1/2020,14.830000,,,,
3/2/2020,13.910000,13.910000,15.216667,14.774000,15.098571
3/3/2020,11.440000,11.440000,13.286667,13.500000,13.905714
3/4/2020,13.500000,13.500000,12.950000,14.118000,14.115714
3/5/2020,17.350000,17.350000,14.096667,14.142000,14.050000
3/6/2020,12.110000,12.110000,14.320000,13.662000,14.292857
3/7/2020,5.500000,,,,
3/8/2020,12.230000,,,,
3/9/2020,16.100000,16.100000,15.186667,14.100000,14.131429
3/10/2020,17.450000,17.450000,15.220000,15.302000,14.551429
3/11/2020,17.700000,17.700000,17.083333,16.142000,15.092857
3/12/2020,8.620000,8.620000,14.590000,14.396000,14.690000
3/13/2020,19.170000,19.170000,15.163333,15.808000,15.500000
3/14/2020,11.710000,,,,
3/15/2020,13.310000,,,,
3/16/2020,13.090000,13.090000,13.626667,15.206000,14.891429
3/17/2020,14.020000,14.020000,15.426667,14.520000,15.164286
3/18/2020,9.060000,9.060000,12.056667,12.792000,14.158571
3/19/2020,15.470000,15.470000,12.850000,14.162000,13.875714
3/20/2020,6.910000,6.910000,10.480000,11.710000,12.334286
3/21/2020,14.770000,,,,
3/22/2020,15.180000,,,,
3/23/2020,20.480000,20.480000,14.286667,13.188000,14.028571
3/24/2020,9.810000,9.810000,12.400000,12.346000,12.691429
3/25/2020,13.540000,13.540000,14.610000,13.242000,12.755714
3/26/2020,12.510000,12.510000,11.953333,12.650000,12.540000
3/27/2020,8.080000,8.080000,11.376667,12.884000,12.400000
3/28/2020,14.640000,,,,
3/29/2020,10.100000,,,,
3/30/2020,15.150000,15.150000,11.913333,11.818000,12.354286
3/31/2020,5.660000,5.660000,9.630000,10.988000,12.175714
4/1/2020,14.090000,14.090000,11.633333,11.098000,11.262857
4/2/2020,11.390000,11.390000,10.380000,10.874000,11.488571
4/3/2020,17.640000,17.640000,14.373333,12.786000,12.074286
4/4/2020,14.940000,,,,
4/5/2020,9.710000,,,,
4/6/2020,6.370000,6.370000,11.800000,11.030000,11.197143
4/7/2020,13.350000,13.350000,12.453333,12.568000,11.950000
4/8/2020,13.780000,13.780000,11.166667,12.506000,11.754286
4/9/2020,8.390000,8.390000,11.840000,11.906000,12.144286
4/10/2020,11.470000,11.470000,11.213333,10.672000,11.770000
4/11/2020,16.340000,,,,
4/12/2020,8.760000,,,,
4/13/2020,14.150000,14.150000,11.336667,12.228000,12.164286
4/14/2020,15.340000,15.340000,13.653333,12.626000,11.835714
4/15/2020,17.180000,17.180000,15.556667,13.306000,13.380000
4/16/2020,12.090000,12.090000,14.870000,14.046000,13.200000
4/17/2020,14.950000,14.950000,14.740000,14.742000,13.367143
4/18/2020,14.480000,,,,
4/19/2020,12.360000,,,,
4/20/2020,19.020000,19.020000,15.353333,15.716000,14.885714
4/21/2020,12.260000,12.260000,15.410000,15.100000,14.998571
4/22/2020,12.270000,12.270000,14.516667,14.118000,14.730000
4/23/2020,13.840000,13.840000,12.790000,14.468000,14.515714
4/24/2020,15.160000,15.160000,13.756667,14.510000,14.227143
4/25/2020,13.870000,,,,
4/26/2020,9.330000,,,,
4/27/2020,7.780000,7.780000,12.260000,12.262000,13.611429
4/28/2020,20.040000,20.040000,14.326667,13.818000,14.338571
4/29/2020,16.860000,16.860000,14.893333,14.736000,14.030000
4/30/2020,12.060000,12.060000,16.320000,14.380000,14.001429
5/1/2020,14.840000,14.840000,14.586667,14.316000,14.368571
5/2/2020,12.600000,,,,
5/3/2020,18.450000,,,,
5/4/2020,17.130000,17.130000,14.676667,16.186000,14.838571
5/5/2020,17.530000,17.530000,16.500000,15.684000,15.177143
5/6/2020,14.820000,14.820000,16.493333,15.276000,16.182857
5/7/2020,12.920000,12.920000,15.090000,15.448000,15.165714
5/8/2020,17.850000,17.850000,15.196667,16.050000,15.307143
5/9/2020,14.330000,,,,
5/10/2020,16.500000,,,,
5/11/2020,6.970000,6.970000,12.580000,14.018000,14.580000
5/12/2020,21.010000,21.010000,15.276667,14.714000,15.461429
5/13/2020,14.070000,14.070000,14.016667,14.564000,15.024286
5/14/2020,9.020000,9.020000,14.700000,13.784000,13.808571
5/15/2020,11.720000,11.720000,11.603333,12.558000,13.365714
5/16/2020,13.880000,,,,
5/17/2020,11.080000,,,,
5/18/2020,12.930000,12.930000,11.223333,13.750000,13.367143
5/19/2020,10.780000,10.780000,11.810000,11.704000,12.357143
5/20/2020,15.580000,15.580000,13.096667,12.006000,13.587143
5/21/2020,12.800000,12.800000,13.053333,12.762000,12.414286
5/22/2020,7.000000,7.000000,11.793333,11.818000,11.404286
5/23/2020,14.620000,,,,
5/24/2020,6.300000,,,,
5/25/2020,11.700000,11.700000,10.500000,11.572000,11.787143
5/26/2020,7.520000,7.520000,8.740000,10.920000,11.187143
5/27/2020,10.850000,10.850000,10.023333,9.974000,10.890000
5/28/2020,11.950000,11.950000,10.106667,9.804000,11.057143
5/29/2020,17.130000,17.130000,13.310000,11.830000,11.278571
5/30/2020,8.710000,,,,
5/31/2020,11.560000,,,,
6/1/2020,10.660000,10.660000,13.246667,11.622000,10.972857
6/2/2020,13.490000,13.490000,13.760000,12.816000,11.900000
6/3/2020,15.780000,15.780000,13.310000,13.802000,12.482857
6/4/2020,12.810000,12.810000,14.026667,13.974000,13.238571
6/5/2020,9.980000,9.980000,12.856667,12.544000,13.114286
6/6/2020,7.600000,,,,
6/7/2020,6.040000,,,,
6/8/2020,5.150000,5.150000,9.313333,11.442000,12.142857
6/9/2020,17.390000,17.390000,10.840000,12.222000,12.180000
6/10/2020,15.350000,15.350000,12.630000,12.136000,12.850000
6/11/2020,16.070000,16.070000,16.270000,12.788000,13.218571
6/12/2020,10.850000,10.850000,14.090000,12.962000,12.514286
6/13/2020,13.410000,,,,
6/14/2020,16.710000,,,,
6/15/2020,8.880000,8.880000,11.933333,13.708000,11.952857
6/16/2020,14.640000,14.640000,11.456667,13.158000,12.618571
6/17/2020,11.180000,11.180000,11.566667,12.324000,13.480000
6/18/2020,11.970000,11.970000,12.596667,11.504000,12.705714
6/19/2020,9.240000,9.240000,10.796667,11.182000,11.832857
6/20/2020,11.690000,,,,
6/21/2020,14.320000,,,,
6/22/2020,9.650000,9.650000,10.286667,11.336000,10.915714
6/23/2020,10.240000,10.240000,9.710000,10.456000,10.828571
6/24/2020,15.460000,15.460000,11.783333,11.312000,11.768571
6/25/2020,10.900000,10.900000,12.200000,11.098000,11.234286
6/26/2020,10.510000,10.510000,12.290000,11.352000,11.138571
6/27/2020,16.050000,,,,
6/28/2020,13.680000,,,,
6/29/2020,6.740000,6.740000,9.383333,10.770000,10.391429
6/30/2020,7.380000,7.380000,8.210000,10.198000,10.125714
7/1/2020,19.310000,19.310000,11.143333,10.968000,11.505714
7/2/2020,14.650000,14.650000,13.780000,11.718000,12.135714
7/3/2020,15.760000,15.760000,16.573333,12.768000,12.178571
7/4/2020,17.040000,,,,
7/5/2020,18.030000,,,,
7/6/2020,9.050000,9.050000,13.153333,13.230000,11.914286
7/7/2020,10.710000,10.710000,11.840000,13.896000,11.942857
7/8/2020,16.790000,16.790000,12.183333,13.392000,13.378571
7/9/2020,16.210000,16.210000,14.570000,13.704000,14.640000
7/10/2020,13.030000,13.030000,15.343333,13.158000,13.742857
7/11/2020,18.650000,,,,
7/12/2020,7.200000,,,,
7/13/2020,15.640000,15.640000,14.960000,14.476000,13.884286
